% CrIS April 2009 fast model
% by Scott Hannon/Larrabee Strow @ UMBC
%
% RMS and bias errors for the 48 training
% profiles at 5 angles each.
%    dBT = BT_truth - BT_fastmodel
%    RMS = sqrt(mean(dBT.^2))
%    bias = mean(dBT)
% No reflected thermal or solar radiance
% contributions. Standard/default trace gas
% amounts. 
%
% Units:
%    frequency in wavenumber
%    mean BT, RMS, and bias in Kelvin
%
% ID     freq    mean BT     RMS        bias
%----  --------  -------   ---------  ----------
  257   810.000  270.684   3.868E-03   4.232E-04
  258   810.625  270.633   1.102E-02   9.633E-03
  259   811.250  270.631   4.252E-03   6.740E-04
  260   811.875  270.775   1.402E-02   1.223E-02
  261   812.500  270.567   4.112E-03   1.156E-03
  262   813.125  270.081   3.830E-03  -2.355E-03
  263   813.750  268.225   7.416E-03  -1.489E-03
  264   814.375  267.719   1.028E-02  -2.688E-03
  265   815.000  269.437   6.062E-03  -1.349E-03
  266   815.625  270.517   5.188E-03   1.560E-03
  267   816.250  270.790   5.093E-03   9.097E-04
  268   816.875  270.798   9.366E-03   8.057E-03
  269   817.500  270.870   4.581E-03   4.503E-04
  270   818.125  270.974   1.397E-02   1.220E-02
  271   818.750  270.912   5.970E-03   5.816E-04
  272   819.375  271.015   1.448E-02   1.238E-02
  273   820.000  270.990   5.714E-03   9.785E-04
  274   820.625  271.013   1.476E-02   1.279E-02
  275   821.250  271.055   4.785E-03   6.832E-04
  276   821.875  271.033   1.226E-02   1.075E-02
  277   822.500  271.055   5.733E-03   1.097E-03
  278   823.125  271.088   7.857E-03   5.949E-03
  279   823.750  271.118   5.468E-03   1.647E-03
  280   824.375  270.774   8.801E-03  -1.897E-03
  281   825.000  269.827   5.956E-03  -1.944E-03
  282   825.625  270.269   6.892E-03  -4.601E-03
  283   826.250  270.989   4.758E-03   1.734E-03
  284   826.875  270.241   6.877E-03  -3.756E-03
  285   827.500  268.869   7.429E-03  -4.226E-04
  286   828.125  269.529   6.657E-03  -2.488E-03
  287   828.750  270.934   5.866E-03   1.897E-03
